timestamp,action,track_artist,track_title,track_album,query,tier,score,filename,username,length,bitrate,size,speed
2026-06-18T12:48:06,preview,Crazy Frog,Axel F,Crazy Frog presents Crazy Hits,Crazy Frog,Normal / Broad,325.0,music\Playlists\Outras\Crazy Frog - Axel F (Radio Edit).mp3,9jafdsz,171,320,320kb,4.19MB/s
2026-06-18T12:48:29,keep_preview,Crazy Frog,Axel F,Crazy Frog presents Crazy Hits,Crazy Frog,Normal / Broad,325.0,music\Playlists\Outras\Crazy Frog - Axel F (Radio Edit).mp3,9jafdsz,171,320,320kb,4.19MB/s
2026-06-18T12:49:09,download_final,PSY,Gangnam Style,Gangnam Style (강남스타일),Gangnam Style intro,Intro / Title Only,436.0,@@hoczu\MISC 1\PSY - Gangnam Style (TMU Throwback Intro) (No Outro) (Clean).mp3,Seiiizi6,221,320,320kb,0.42MB/s
2026-06-18T12:49:56,preview,PSY,Gangnam Style,Gangnam Style (강남스타일),Gangnam Style intro,Intro / Title Only,436.0,@@uhrwe\mp3\hard hip hop\20210826 Twerk Remix SET\Psy - Gangnam Style (JAYY Remix) Intro - Clean.mp3,djsam420,145,320,320kb,0.46MB/s
2026-06-18T12:50:18,preview,PSY,Gangnam Style,Gangnam Style (강남스타일),Gangnam Style intro,Intro / Title Only,436.0,@@dwump\AYIKLA\loj\House\Psy - Gangnam Style (Intro) Radio).mp3,powerboy,218,320,320kb,0.17MB/s
2026-06-18T12:51:14,preview,PSY,Gangnam Style,Gangnam Style (강남스타일),PSY intro,Intro / Broad,363.0,@@fhueo\Music Master\Remix Services\Mixshow Ingredients\Mixshow Ingredients 069\M.I. 69\132 bpm - PSY - Gangnam Style [Intro 1].mp3,OldShoolover,241,320,320kb,0.50MB/s
2026-06-18T12:54:21,download_final,Baha Men,Who Let The Dogs Out,Who Let The Dogs Out,Baha Men Who Let The Dogs Out intro,Intro / Exact,438.0,@@htouc\Music Sets\Various DJ Remixes\Baha Men - Who Let The Dogs Out (Intro) (Clean).mp3,KJ_Jim,198,192,192kb,0.95MB/s
2026-06-18T12:55:11,preview,Soulja Boy,Crank That Soulja Boy,souljaboytellem.com,Soulja Boy Crank That Soulja Boy intro,Intro / Exact,436.0,@@knlje\125-135 BPM\complete\4v4l0n_94200\DMS 2505 [DJC]\Soulja Boy - Crank That (Soulja Boy) (Intro  Clean).mp3,cq,260,320,320kb,0.47MB/s
2026-06-18T12:55:44,keep_preview,Soulja Boy,Crank That Soulja Boy,souljaboytellem.com,Soulja Boy Crank That Soulja Boy intro,Intro / Exact,436.0,@@knlje\125-135 BPM\complete\4v4l0n_94200\DMS 2505 [DJC]\Soulja Boy - Crank That (Soulja Boy) (Intro  Clean).mp3,cq,260,320,320kb,0.47MB/s
2026-06-18T12:59:28,preview,Nico & Vinz,Am I Wrong,Black Star Elephant,Nico & Vinz Am I Wrong intro,Intro / Exact,436.0,Soulseek\unsorted\Club Killers 0604 (2020)\Nico & Vinz - Am I Wrong (CK Intro - Clean).mp3,nightrmx,256,320,320kb,0.08MB/s
2026-06-18T12:59:54,preview,Nico & Vinz,Am I Wrong,Black Star Elephant,Nico & Vinz Am I Wrong intro,Intro / Exact,365.0,@@ogzof\DJ\C_DJ\Promo Only\June 2014 Express (pop & country)\Nico & Vinz - Am I Wrong (Promo Only Intro Edit).mp3,PaulBKaraoke,240,320,320kb,1.09MB/s
2026-06-18T13:00:51,preview,Nico & Vinz,Am I Wrong,Black Star Elephant,Am I Wrong intro,Intro / Title Only,438.0,@@htouc\Music Sets\Various DJ Remixes\Nico & Vinz - Am I Wrong (CK Intro) (Clean).mp3,KJ_Jim,256,192,192kb,0.95MB/s
2026-06-18T13:01:20,keep_preview,Nico & Vinz,Am I Wrong,Black Star Elephant,Am I Wrong intro,Intro / Title Only,438.0,@@htouc\Music Sets\Various DJ Remixes\Nico & Vinz - Am I Wrong (CK Intro) (Clean).mp3,KJ_Jim,256,192,192kb,0.95MB/s
